"x";"y";"srid","name";"place";"population"
12987920;-3717821;3857;"Northam";"town";-1
13025656;-3714439;3857;"Meckering";"town";-1
16205099;-4251909;3857;"Finley";"town";-1
16263304;-4654935;3857;"Dumbalk";"town";-1
14594765;-1487024;3857;"Adelaide River";"town";-1
14586039;-1465077;3857;"Batchelor";"town";-1
17090437;-3335744;3857;"Bangalow";"town";-1
14675842;-1554027;3857;"Pine Creek";"town";-1
16162530;-4622981;3857;"Hastings";"town";-1
16155162;-4599564;3857;"Frankston";"town";-1
16790080;-4129444;3857;"Gerringong";"town";-1
16775594;-4133390;3857;"Berry";"town";-1
16271564;-5035510;3857;"Ulverstone";"town";-1
14880546;-3779909;3857;"Ceduna";"town";-1
16343653;-5035254;3857;"Beauty Point";"town";-1
16111758;-4477741;3857;"Lancefield";"town";-1
16635442;-4198553;3857;"Bungendore";"town";-1
16780874;-4143624;3857;"Shoalhaven Heads";"town";-1
12919447;-3759636;3857;"Kalamunda";"town";-1
12887670;-3729735;3857;"Joondalup";"town";-1
12884805;-3770647;3857;"Fremantle";"town";-1
12913359;-3748741;3857;"Midland";"town";-1
12861695;-3598461;3857;"Cataby Roadhouse";"town";-1
12914706;-3783315;3857;"Armadale";"town";-1
16159639;-4561939;3857;"Glen Waverley";"town";-1
16493231;-4014729;3857;"Grenfell";"town";-1
14813180;-1680890;3857;"Mataranka";"town";-1
16978572;-3820464;3857;"Seal Rocks";"town";-1
16314052;-5036694;3857;"Port Sorell";"town";-1
12793902;-3407541;3857;"Dongara";"town";-1
12861885;-3762864;3857;"Rottnest";"town";-1
16769277;-4010734;3857;"Wallacia";"town";-1
16746633;-4207041;3857;"Milton";"town";-1
16772586;-4169113;3857;"Huskisson";"town";-1
16037682;-4438593;3857;"Maldon";"town";-1
16312811;-5035983;3857;"Shearwater";"town";-1
16800968;-4018042;3857;"Liverpool";"town";-1
16773085;-4173440;3857;"Vincentia";"town";-1
16962597;-3776229;3857;"Nabiac";"town";-1
16916055;-3764194;3857;"Gloucester";"town";-1
16675563;-4223949;3857;"Braidwood";"town";-1
16713606;-4252347;3857;"Nelligen";"town";-1
16707052;-4288219;3857;"Moruya";"town";-1
16863051;-3871106;3857;"Kurri Kurri";"town";-1
16596138;-4210823;3857;"Woden Valley";"town";-1
16712587;-4330800;3857;"Narooma";"town";-1
16706539;-4359655;3857;"Bermagui";"town";-1
12895295;-3929326;3857;"Brunswick";"town";-1
12901753;-3906014;3857;"Harvey";"town";-1
13007036;-2360297;3857;"Karratha";"town";-1
13202305;-2321535;3857;"South Hedland";"town";-1
16820397;-3988862;3857;"Hornsby";"town";-1
12871392;-3704377;3857;"Yanchep";"town";-1
12867538;-3697238;3857;"Two Rocks";"town";-1
12890765;-3731116;3857;"Wanneroo";"town";-1
12838498;-3635675;3857;"Lancelin";"town";-1
12851047;-3668483;3857;"Seabird";"town";-1
12843425;-3646776;3857;"Ledge Point";"town";-1
12936680;-3629252;3857;"New Norcia";"town";-1
12983623;-3517284;3857;"Wubin";"town";-1
12624241;-2801684;3857;"Quobba Station";"town";-1
13040614;-2364757;3857;"Roebourne";"town";-1
12991843;-2351563;3857;"Dampier";"town";-1
17100235;-3330342;3857;"Byron Bay";"town";-1
16312538;-4607031;3857;"Traralgon";"town";-1
16297106;-4612900;3857;"Morwell";"town";-1
16245257;-4601893;3857;"Warragul";"town";-1
16236634;-4598671;3857;"Drouin";"town";-1
16490175;-4330207;3857;"Khancoban";"town";-1
16281800;-4604534;3857;"Moe";"town";-1
17043085;-3551096;3857;"Sawtell";"town";-1
17041987;-3549028;3857;"Toormina";"town";-1
