"x","y","srid","name","place","population"
1319950,7480097,3857,"Nørre Hvalsø","village",3930
1257052,7460863,3857,"Høng","village",3789
1000022,7578301,3857,"Lind","village",3777
975901,7598333,3857,"Vildbjerg","village",3773
1684395,7374235,3857,"Nexø","village",3762
1177994,7431871,3857,"Langeskov","village",3713
1340454,7384796,3857,"Præstø","village",3695
1007341,7588393,3857,"Gjellerup Kirkeby","village",3627
1113195,7760119,3857,"Gistrup","village",3622
1279499,7465102,3857,"Dianalund","village",3605
1074139,7487401,3857,"Børkop","village",3561
1367479,7571024,3857,"Græsted","village",3526
1003731,7598333,3857,"Sunds","village",3525
991132,7585104,3857,"Snejbjerg","village",3513
1134831,7565884,3857,"Malling","village",3462
1310201,7481277,3857,"Tølløse","village",3457
1123446,7472108,3857,"Bogense","village",3410
1118696,7762496,3857,"Klarup","village",3352
1009100,7398324,3857,"Toftlund","village",3310
904758,7559788,3857,"Hvide Sande","village",3291
1070424,7466649,3857,"Taulov","village",3278
1099493,7352170,3857,"Augustenborg","village",3255
1165137,7420904,3857,"Årslev","village",3228
1331597,7508808,3857,"Skibby","village",3185
1287595,7443156,3857,"Frederiksberg","village",3142
1122273,7566684,3857,"Solbjerg","village",3139
1070062,7552800,3857,"Brædstrup","village",3130
997142,7373580,3857,"Løgumkloster","village",3124
1064957,7581675,3857,"Virklund","village",3113
1125061,7416152,3857,"Glamsbjerg","village",3099
992468,7460670,3857,"Holsted","village",3096
976139,7392223,3857,"Skærbæk","village",3091
1048683,7509898,3857,"Jelling","village",3059
1127989,7437481,3857,"Vissenbjerg","village",3055
1008064,7585194,3857,"Hammerum","village",3025
977182,7654597,3857,"Vinderup","village",2991
1165726,7445105,3857,"Bullerup","village",2982
1187175,7432642,3857,"Ullerslev","village",2962
1077083,7805759,3857,"Pandrup","village",2942
1364971,7516946,3857,"Ganløse","village",2936
1318376,7316970,3857,"Sundby","village",2905
1135421,7857957,3857,"Sindal","village",2898
978774,7611701,3857,"Avlum","village",2875
1141618,7456385,3857,"Søndersø","village",2850
921755,7484478,3857,"Oksbøl","village",2845
1029572,7348974,3857,"Tinglev","village",2829
936939,7709191,3857,"Hurup","village",2769
1060015,7780105,3857,"Brovst","village",2710
1008157,7433886,3857,"Rødding","village",2694
1035271,7456242,3857,"Lunderskov","village",2687
1099705,7451691,3857,"Nørre Åby","village",2678
985064,7565013,3857,"Kibæk","village",2656
1118319,7435486,3857,"Årup","village",2592
1331918,7560853,3857,"Liseleje","village",2580
1352679,7540138,3857,"Skævinge","village",2546
1142818,7608308,3857,"Hjortshøj","village",2515
1101263,7344446,3857,"Høruphav","village",2514
935734,7449665,3857,"Nordby","village",2512
1155867,7645169,3857,"Auning","village",2509
1107143,7589463,3857,"Skovby","village",2489
1249832,7467203,3857,"Gørlev","village",2482
1130117,7608815,3857,"Trige","village",2475
1007115,7418154,3857,"Gram","village",2452
1280245,7521639,3857,"Asnæs","village",2441
1129292,7646500,3857,"Assentoft","village",2432
1098507,7360052,3857,"Guderup","village",2424
1168695,7861567,3857,"Strandby","village",2397
1338922,7411417,3857,"Rønnede","village",2395
1147969,7759684,3857,"Hals","village",2388
1276464,7508808,3857,"Hørve","village",2382
1268140,7302962,3857,"Rødby","village",2379
1082128,7463840,3857,"Snoghøj","village",2371
1055680,7528613,3857,"Tørring","village",2370
1344117,7530694,3857,"Græse Bakkeby","village",2368
1340721,7340716,3857,"Stubbekøbing","village",2301
1092850,7761430,3857,"Frejlev","village",2286
1106843,7832777,3857,"Vrå","village",2273
1170853,7333494,3857,"Marstal","village",2265
1378442,7532489,3857,"Blovstrød","village",2226
1076428,7491775,3857,"Brejning","village",2220
1257119,7489262,3857,"Svebølle","village",2186
1020867,7620604,3857,"Karup","village",2176
1035271,7482481,3857,"Egtved","village",2151
1352583,7506095,3857,"Gundsømagle","village",2149
1264243,7296327,3857,"Rødbyhavn","village",2145
1181316,7370255,3857,"Vindeby","village",2144
1322058,7341905,3857,"Nørre Alslev","village",2128
1332123,7472631,3857,"Osted","village",2122
1029087,7591844,3857,"Bording Kirkeby","village",2104
1660935,7375351,3857,"Aakirkeby","village",2100
1061841,7408288,3857,"Starup","village",2091
1136067,7424571,3857,"Tommerup","village",2072
1332911,7480041,3857,"Lejre","village",2036
1072171,7463089,3857,"Skærbæk","village",2033
1122833,7605465,3857,"Søften","village",2030
1105799,7445362,3857,"Ejby","village",1996
926433,7612810,3857,"Ulfborg","village",1994
1285586,7421310,3857,"Fuglebjerg","village",1985
1116787,7600825,3857,"Sabro","village",1977
1053726,7379415,3857,"Løjt Kirkeby","village",1975
1168854,7635108,3857,"Ryomgård","village",1952
1374110,7554788,3857,"Nødebo","village",1891
1343643,7543057,3857,"Ølsted","village",1863
1126243,7839390,3857,"Tårs","village",1856
1275765,7306413,3857,"Holeby","village",1844
1150301,7651882,3857,"Allingåbro","village",1842
1332099,7369878,3857,"Ørslev","village",1801
910607,7682569,3857,"Harboøre","village",1745
1646586,7416987,3857,"Allinge-Sandvig","village",1723
1637140,7397761,3857,"Hasle","village",1722
1404239,7472968,3857,"Søvang","village",1707
1348303,7561059,3857,"Ramløse","village",1636
1159515,7882304,3857,"Ålbæk","village",1597
1346658,7569568,3857,"Tisvilde","village",1531
983121,7373061,3857,"Bredebro","village",1507
1357078,7557934,3857,"Annisse Nord","village",1441
958279,7502451,3857,"Tistrup","village",1423
1363960,7495048,3857,"Sengeløse","village",1374
1305763,7298430,3857,"Nysted","village",1372
922731,7514717,3857,"Nørre Nebel","village",1328
1079831,7573829,3857,"Gammel Rye","village",1317
967838,7354484,3857,"Højer","village",1290
1016430,7386991,3857,"Agerskov","village",1255
1361656,7550176,3857,"Tulstrup","village",1249
1166630,7858280,3857,"Elling","village",1214
971723,7416582,3857,"Egebæk-Hviding","village",1190
1374901,7568550,3857,"Esbønderup","village",1170
1399603,7522957,3857,"Skodsborg","village",1169
1035694,7400043,3857,"Over Jerstal","village",1138
1367579,7551746,3857,"Gadevang","village",1116
1057668,7358139,3857,"Felsted","village",1116
1685433,7388139,3857,"Svaneke","village",1100
1357962,7535792,3857,"Gørløse","village",1058
1351617,7571771,3857,"Vejby","village",1045
1363823,7484327,3857,"Thorslunde","village",1039
1369488,7484181,3857,"Ishøj Landsby","village",1039
1339211,7555905,3857,"Vinderød","village",1033
1391227,7556422,3857,"Kvistgård","village",1029
1651250,7410340,3857,"Tejn","village",1013
1362158,7532168,3857,"Uvelse","village",983
1360764,7518791,3857,"Slagslunde","village",938
1326739,7541868,3857,"Kulhuse","village",912
1337872,7515403,3857,"Skuldelev","village",905
1166984,7847924,3857,"Kilden","village",895
980028,7350341,3857,"Møgeltønder","village",895
1349255,7545603,3857,"Store Lyngby","village",847
1196147,7396135,3857,"Hesselager","village",833
1332480,7557505,3857,"Melby","village",792
1337453,7522822,3857,"Gerlev","village",783
1369731,7501091,3857,"Ledøje","village",756
1682561,7367066,3857,"Snogebæk","village",736
1642811,7389439,3857,"Nyker","village",726
1666499,7402969,3857,"Gudhjem","village",724
1386178,7562496,3857,"Tikøb","village",712
1333184,7502497,3857,"Gershøj","village",685
1648156,7396029,3857,"Klemensker","village",684
1354474,7545359,3857,"Meløse","village",681
1161041,7852671,3857,"Ravnshøj","village",670
1161638,7842567,3857,"Gæum","village",665
1356862,7484120,3857,"Reerslev","village",644
1159602,7869897,3857,"Jerup","village",644
1123703,7858711,3857,"Astrup","village",629
1181229,7439696,3857,"Rynkeby","village",623
1146528,7843967,3857,"Lendum","village",591
1075255,7479584,3857,"Pjedsted","village",572
1189150,7417130,3857,"Refsvindinge","village",571
1348887,7518634,3857,"Store Rørbæk","village",570
998053,7410150,3857,"Arnum","village",562
1638695,7392400,3857,"Muleby","village",547
1361261,7521498,3857,"Buresø","village",541
1378010,7568086,3857,"Esrum","village",530
998016,7349951,3857,"Jejsing","village",526
1075358,7359741,3857,"Blans","village",516
1361417,7552665,3857,"Alsønderup","village",504
999731,7430630,3857,"Sønder Hygum","village",504
1044368,7441634,3857,"Ødis","village",490
1671189,7389574,3857,"Østermarie","village",485
1066826,7361162,3857,"Bovrup","village",466
1065246,7364647,3857,"Varnæs","village",464
1685616,7382959,3857,"Årsdale","village",461
1321082,7508071,3857,"Vellerup","village",433
1159023,7856989,3857,"Kvissel","village",432
971799,7399802,3857,"Brøns","village",431
1366449,7536468,3857,"Nørre Herlev","village",426
980431,7384493,3857,"Døstrup","village",405
1651790,7376699,3857,"Lobbæk","village",371
1333506,7554754,3857,"Evetofte","village",368
966423,7418575,3857,"Vester Vedsted","village",334
1323345,7520515,3857,"Kyndby Huse","village",329
997272,7391538,3857,"Arrild","village",324
1355114,7554699,3857,"Annisse","village",315
1330789,7517486,3857,"Dalby","village",314
1354714,7525002,3857,"Jørlunde","village",311
1361654,7513280,3857,"Søsum","village",307
1122694,7848024,3857,"Lørslev","village",306
1009371,7385695,3857,"Branderup","village",305
1339398,7506025,3857,"Sønderby","village",301
1389515,7529679,3857,"Høsterkøb","village",298
1161971,7824428,3857,"Syvsten","village",295
1177003,7426509,3857,"Kappendrup","village",287
1368419,7495850,3857,"Vridsløsemagle","village",283
970731,7407134,3857,"Rejsby","village",278
1682022,7369805,3857,"Balka","village",277
1650161,7383163,3857,"Vestermarie","village",274
983119,7403677,3857,"Frifelt","village",272
1326824,7517703,3857,"Kyndby","village",269
1665861,7392549,3857,"Østerlars","village",269
1245792,7476934,3857,"Bjerge","village",268
1326041,7510733,3857,"Ferslev","village",263
1064705,7755558,3857,"Valsted","village",259
1325525,7514110,3857,"Venslev","village",254
1669139,7368031,3857,"Pedersker","village",251
1334471,7523564,3857,"Landerslev","village",249
1087136,7631717,3857,"Hvorslev","village",243
1333726,7520094,3857,"Lyngerup","village",234
1147771,7859860,3857,"Tolne","village",232
1648653,7376298,3857,"Nylars","village",228
1682629,7389913,3857,"Listed","village",226
938885,7510799,3857,"Kvong","village",224
1371316,7575651,3857,"Søborg","village",217
1325191,7325812,3857,"Tingsted","village",216
1346723,7530867,3857,"Græse","village",204
1148038,7614964,3857,"Segalt","village",150
951307,7384431,3857,"Rømø Kirkeby","village",-1
977641,7547067,3857,"Sønder Felding","village",-1
910112,7528570,3857,"Hegnet","village",-1
909684,7531762,3857,"Bjerregård","village",-1
908824,7539869,3857,"Skodbjerge","village",-1
908595,7543561,3857,"Sønder Havrvig","village",-1
1132716,7598303,3857,"Skejby","village",-1
1017700,7483795,3857,"Fitting","village",-1
1155282,7378250,3857,"Vester Åby","village",-1
1160196,7376103,3857,"Ulbølle","village",-1
1061909,7464918,3857,"Eltang","village",-1
1114015,7342809,3857,"Lysabild","village",-1
1116259,7341237,3857,"Neder Lysabild","village",-1
999408,7591550,3857,"Gullestrup","village",-1
1088649,7511412,3857,"Urlev","village",-1
1074944,7507443,3857,"Engum","village",-1
1073095,7508346,3857,"Bredal","village",-1
1344815,7435424,3857,"Algestrup","village",-1
921969,7527971,3857,"Bork Havn","village",-1
1360355,7489443,3857,"Baldersbrønde","village",-1
1314790,7404282,3857,"Rønnebæk","village",-1
1032189,7587025,3857,"Bording","village",-1
936038,7523219,3857,"Sønder Vium","village",-1
953429,7598226,3857,"Ørnhøj","village",-1
991317,7576839,3857,"Studsgaard","village",-1
985486,7601069,3857,"Sinding","village",-1
1385141,7361058,3857,"Borre","village",-1
1178403,7354163,3857,"Vårø","village",-1
1254230,7304810,3857,"Kramnitse","village",-1
1142863,7601713,3857,"Egå","village",-1
1106653,7585577,3857,"Storring","village",-1
1333468,7393619,3857,"Tappernøje","village",-1
1125634,7596756,3857,"Tilst","village",-1
1067420,7732776,3857,"Skivum","village",-1
1065420,7736711,3857,"Vegger","village",-1
1069721,7749045,3857,"Bislev","village",-1
1030596,7540066,3857,"Thyregod","village",-1
1366217,7357128,3857,"Lendemark","village",-1
997424,7677672,3857,"Hem","village",-1
1030336,7519262,3857,"Farre","village",-1
1384723,7419809,3857,"Tommestrup","village",-1
1194861,7375324,3857,"Åbyskov","village",-1
934865,7444850,3857,"Rindby","village",-1
932799,7444016,3857,"Rindby Strand","village",-1
931224,7446623,3857,"Fanø Bad","village",-1
1191843,7391039,3857,"Gudme","village",-1
1188349,7384505,3857,"Brudager","village",-1
1186463,7388042,3857,"Lakkendrup","village",-1
1181224,7387189,3857,"Brændeskov","village",-1
1066928,7811822,3857,"Blokhus","village",-1
1096033,7544517,3857,"Gedved","village",-1
1099550,7553056,3857,"Tebstrup","village",-1
1154022,7771857,3857,"Hou","village",-1
1063400,7400531,3857,"Kelstrup","village",-1
1067120,7399697,3857,"Kelstrup Strand","village",-1
1051023,7402634,3857,"Marstrup","village",-1
1070158,7403989,3857,"Hejsager","village",-1
904484,7484373,3857,"Vejers Strand","village",-1
1037871,7513101,3857,"Gadbjerg","village",-1
985975,7645773,3857,"Djeld","village",-1
987336,7649967,3857,"Sevel","village",-1
977738,7663049,3857,"Ejsing","village",-1
977126,7645523,3857,"Ryde","village",-1
1161412,7617672,3857,"Følle Strand","village",-1
1152321,7617141,3857,"Eskerod","village",-1
1155364,7615749,3857,"Havhusene","village",-1
1181160,7538063,3857,"Stauns","village",-1
1180106,7530349,3857,"Østerby","village",-1
1175110,7526430,3857,"Tanderup","village",-1
1175102,7518692,3857,"Kolby","village",-1
1177787,7520275,3857,"Permelille","village",-1
1175126,7521122,3857,"Haardmark","village",-1
1175662,7523658,3857,"Pillemark","village",-1
1182491,7527795,3857,"Langemark","village",-1
1184595,7531215,3857,"Besser","village",-1
1181679,7527963,3857,"Torup","village",-1
1184711,7540940,3857,"Langør","village",-1
924259,7520628,3857,"Sdr Bork","village",-1
1180975,7534277,3857,"Toftebjerg","village",-1
1182852,7533811,3857,"Alstrup","village",-1
1171368,7620263,3857,"Rostved","village",-1
1173054,7616084,3857,"Bjødstrup","village",-1
1177354,7616623,3857,"Tåstrup","village",-1
1143508,7510481,3857,"Endelave By","village",-1
1171571,7604682,3857,"Agri","village",-1
1170046,7594177,3857,"Begtrup","village",-1
1167508,7595259,3857,"Strands","village",-1
1166040,7598890,3857,"Knebel Bro","village",-1
1167329,7601129,3857,"Knebel","village",-1
1168148,7607301,3857,"Vrinners","village",-1
1157239,7623767,3857,"Ommestrup","village",-1
1155353,7625561,3857,"Mørke","village",-1
1152140,7632251,3857,"Hvilsager","village",-1
1151118,7629731,3857,"Termestrup","village",-1
1153137,7634691,3857,"Kastrup","village",-1
1153232,7639234,3857,"Ring","village",-1
1159458,7636974,3857,"Pindstrup","village",-1
1161582,7624910,3857,"Fårup","village",-1
1155232,7621588,3857,"Bale","village",-1
1154943,7650124,3857,"Tøjstrup","village",-1
1155467,7648200,3857,"Tårup","village",-1
1136849,7618500,3857,"Mejlby","village",-1
1134335,7625416,3857,"Halling","village",-1
1132603,7631889,3857,"Voldum","village",-1
1084554,7511870,3857,"Store Dalby","village",-1
1164194,7458101,3857,"Gerskov","village",-1
1164725,7469277,3857,"Hasmark","village",-1
1163684,7461257,3857,"Hessum","village",-1
1140076,7549261,3857,"Dyngby","village",-1
1134917,7557270,3857,"Nølev","village",-1
1133760,7559287,3857,"Assedrup","village",-1
1118782,7554455,3857,"Torrild","village",-1
1100733,7594309,3857,"Skjørring","village",-1
1105809,7594991,3857,"Sjelle","village",-1
1109505,7594879,3857,"Herskind","village",-1
1146002,7382803,3857,"Diernæs","village",-1
1062544,7511118,3857,"Grejs","village",-1
1054803,7450781,3857,"Vonsild","village",-1
1044186,7499365,3857,"Bredsten","village",-1
1318293,7402461,3857,"Næstelsø","village",-1
1320913,7403130,3857,"Brandelev","village",-1
1331361,7401450,3857,"Everdrup","village",-1
1070072,7532855,3857,"Rask Mølle","village",-1
1064403,7535890,3857,"Aale","village",-1
1145452,7628469,3857,"Karlby","village",-1
1143451,7631208,3857,"Skørring","village",-1
1147859,7640743,3857,"Øster Alling","village",-1
1135047,7641310,3857,"Hørning","village",-1
1140667,7635646,3857,"Lime","village",-1
1149709,7631494,3857,"Bendstrup","village",-1
1149383,7644689,3857,"Liltved","village",-1
1086738,7520683,3857,"Ølsted","village",-1
1109997,7457308,3857,"Brenderup","village",-1
1331682,7284616,3857,"Gedesby Strand","village",-1
1080160,7529143,3857,"Korning","village",-1
1067357,7527843,3857,"Uldum","village",-1
1150516,7658806,3857,"Ørsted","village",-1
1143399,7662972,3857,"Voer","village",-1
1147823,7664707,3857,"Lille Sjørup","village",-1
1143700,7667286,3857,"Kare","village",-1
1146389,7668875,3857,"Holbæk","village",-1
1153631,7666607,3857,"Store Sjørup","village",-1
1156767,7661502,3857,"Hevring","village",-1
1143909,7657372,3857,"Hollandsbjerg","village",-1
1155953,7653575,3857,"Allestrup","village",-1
1162557,7659527,3857,"Vivild","village",-1
1165212,7658098,3857,"Lystrup","village",-1
1163890,7662641,3857,"Hevringholm","village",-1
1170681,7660677,3857,"Rygårdstrand","village",-1
1151129,7671596,3857,"Ingerslev","village",-1
1146183,7673506,3857,"Udby","village",-1
1148093,7678189,3857,"Udbyhøj","village",-1
1125751,7557907,3857,"Balle","village",-1
1114357,7584924,3857,"Gammel Harlev","village",-1
1113396,7616546,3857,"Vitten","village",-1
1127179,7564822,3857,"Ask","village",-1
1128076,7571663,3857,"Testrup","village",-1
1125161,7571139,3857,"Ravnholt","village",-1
1124744,7565235,3857,"Astrup","village",-1
1121595,7562526,3857,"Onsted","village",-1
1119153,7559687,3857,"Hvilsted","village",-1
931494,7510228,3857,"Lunde","village",-1
964122,7376505,3857,"Bådsbøl-Ballum","village",-1
960824,7469932,3857,"Roust","village",-1
953299,7610221,3857,"Vind","village",-1
972019,7640212,3857,"Hvam Mejeriby","village",-1
1120993,7571762,3857,"Blegind","village",-1
1124380,7575241,3857,"Ingerslev","village",-1
1122132,7577537,3857,"Enslev","village",-1
1036255,7661040,3857,"Fiskbæk","village",-1
1029977,7669139,3857,"Knudby","village",-1
1034781,7663710,3857,"Kvols","village",-1
1071749,7654821,3857,"Ørum","village",-1
1080170,7657818,3857,"Kvorning","village",-1
1102844,7655497,3857,"Øster Bjerregrav","village",-1
1131661,7602641,3857,"Lisbjerg","village",-1
1134468,7601786,3857,"Terp","village",-1
1135242,7606574,3857,"Elev","village",-1
